"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1725","Login with password having SQL injection","chromium","Sat Jul 19 06:57:07 GMT 2025","passed","Sat Jul 19 06:57:09 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","6118","Login with username in lowercase","chromium","Sat Jul 19 06:56:27 GMT 2025","failed","Sat Jul 19 06:56:33 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1422","Login with username in Arabic","chromium","Sat Jul 19 06:57:02 GMT 2025","passed","Sat Jul 19 06:57:04 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","6346","Add new employee in OrangeHRM","chromium","Sat Jul 19 06:59:21 GMT 2025","passed","Sat Jul 19 06:59:28 GMT 2025","Verify adding new employee","e2e/PIM/addEmployee.e2e.spec.ts","",""
"","1687","Login with password having whitespace at the beginning","chromium","Sat Jul 19 06:55:21 GMT 2025","passed","Sat Jul 19 06:55:23 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","5986","Login with strong valid password","chromium","Sat Jul 19 06:59:07 GMT 2025","failed","Sat Jul 19 06:59:13 GMT 2025","Verify the password that meets all criteria perfectly","e2e/login.e2e.spec.ts","",""
"","1910","Login with password in Chinese","chromium","Sat Jul 19 06:57:00 GMT 2025","passed","Sat Jul 19 06:57:02 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","1441","Login with username having whitespace at the beginning","chromium","Sat Jul 19 06:55:18 GMT 2025","passed","Sat Jul 19 06:55:20 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","6142","Login with username having whitespace at the end","chromium","Sat Jul 19 06:55:11 GMT 2025","failed","Sat Jul 19 06:55:18 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","1440","Login with valid username having special characters","chromium","Sat Jul 19 06:54:53 GMT 2025","passed","Sat Jul 19 06:54:55 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","1611","Login with password having XSS attack","chromium","Sat Jul 19 06:57:10 GMT 2025","passed","Sat Jul 19 06:57:12 GMT 2025","Verify the user login with XSS attack","e2e/login.e2e.spec.ts","",""
"","1190","Login with empty username","chromium","Sat Jul 19 06:54:50 GMT 2025","passed","Sat Jul 19 06:54:51 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","1052","Login with both username and password fields empty","chromium","Sat Jul 19 06:54:52 GMT 2025","passed","Sat Jul 19 06:54:53 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","1585","Login with username with first letter uppercase","chromium","Sat Jul 19 06:55:50 GMT 2025","passed","Sat Jul 19 06:55:52 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1365","Login with username having SQL injection","chromium","Sat Jul 19 06:57:06 GMT 2025","passed","Sat Jul 19 06:57:07 GMT 2025","Verify the user login with SQL injection","e2e/login.e2e.spec.ts","",""
"","9991","Employee exists","chromium","Sat Jul 19 06:59:28 GMT 2025","passed","Sat Jul 19 06:59:38 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","1368","Login with valid password having special characters","chromium","Sat Jul 19 06:54:55 GMT 2025","passed","Sat Jul 19 06:54:56 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
"","3092","Cancel reset password","chromium","Sat Jul 19 06:58:49 GMT 2025","passed","Sat Jul 19 06:58:52 GMT 2025","Verify the password reset functionality","e2e/login.e2e.spec.ts","",""
"","6119","Login with username in uppercase","chromium","Sat Jul 19 06:55:43 GMT 2025","failed","Sat Jul 19 06:55:49 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1512","Login with valid credentials successfully","chromium","Sat Jul 19 06:54:43 GMT 2025","passed","Sat Jul 19 06:54:44 GMT 2025","Verify the user can login with valid account","e2e/login.e2e.spec.ts","",""
"","1479","Login with username in Chinese","chromium","Sat Jul 19 06:56:59 GMT 2025","passed","Sat Jul 19 06:57:00 GMT 2025","Verify the user login with multi-languages","e2e/login.e2e.spec.ts","",""
"","1553","Login with username having emojis","chromium","Sat Jul 19 06:59:14 GMT 2025","passed","Sat Jul 19 06:59:15 GMT 2025","Verify the user login with emojis","e2e/login.e2e.spec.ts","",""
"","1382","Login with username at min length","chromium","Sat Jul 19 06:55:26 GMT 2025","passed","Sat Jul 19 06:55:28 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","4064","Multiple failed login attempts","chromium","Sat Jul 19 06:59:17 GMT 2025","passed","Sat Jul 19 06:59:21 GMT 2025","Verify the user login with multiple attempts","e2e/login.e2e.spec.ts","",""
"","1727","Login with password at min length","chromium","Sat Jul 19 06:55:28 GMT 2025","passed","Sat Jul 19 06:55:29 GMT 2025","Verify the user login with max/min length","e2e/login.e2e.spec.ts","",""
"","1041","Login with empty password","chromium","Sat Jul 19 06:54:51 GMT 2025","passed","Sat Jul 19 06:54:52 GMT 2025","Verify the user leaves empty fields","e2e/login.e2e.spec.ts","",""
"","6007","Login with password with first letter uppercase","chromium","Sat Jul 19 06:56:49 GMT 2025","failed","Sat Jul 19 06:56:55 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","10515","Employee does not exist","chromium","Sat Jul 19 06:59:46 GMT 2025","passed","Sat Jul 19 06:59:56 GMT 2025","Verify search employee","e2e/PIM/searchEmployee.e2e.spec.ts","",""
"","1779","Login with password having emojis","chromium","Sat Jul 19 06:59:15 GMT 2025","passed","Sat Jul 19 06:59:17 GMT 2025","Verify the user login with emojis","e2e/login.e2e.spec.ts","",""
"","31877","Reset password with valid username","chromium","Sat Jul 19 06:58:17 GMT 2025","broken","Sat Jul 19 06:58:49 GMT 2025","Verify the password reset functionality","e2e/login.e2e.spec.ts","",""
"","1745","Login with password in uppercase","chromium","Sat Jul 19 06:56:33 GMT 2025","passed","Sat Jul 19 06:56:35 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1627","Login with password having whitespace at the end","chromium","Sat Jul 19 06:55:20 GMT 2025","passed","Sat Jul 19 06:55:21 GMT 2025","Verify the user login with white spaces","e2e/login.e2e.spec.ts","",""
"","1740","Login with an invalid password","chromium","Sat Jul 19 06:54:48 GMT 2025","passed","Sat Jul 19 06:54:50 GMT 2025","Verify the user login with invalid account","e2e/login.e2e.spec.ts","",""
"","6179","Login with mixed case username","chromium","Sat Jul 19 06:56:06 GMT 2025","failed","Sat Jul 19 06:56:12 GMT 2025","Verify the user login with case sensitivity","e2e/login.e2e.spec.ts","",""
"","1385","Login with invalid username having special characters","chromium","Sat Jul 19 06:54:56 GMT 2025","passed","Sat Jul 19 06:54:57 GMT 2025","Verify the user login with special characters","e2e/login.e2e.spec.ts","",""
